city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tura,25.5198,90.2201,86.67,45,22,3.96,IN,2022-04-21 05:53:54
1,Hermanus,-34.4187,19.2345,60.8,95,36,2.24,ZA,2022-04-21 05:53:54
2,Pombas,17.1503,-25.0201,67.78,82,82,9.78,CV,2022-04-21 05:53:54
3,Saint George,37.1041,-113.5841,70.39,27,0,8.05,US,2022-04-21 05:51:01
4,Thinadhoo,0.5333,72.9333,84.11,70,39,7.87,MV,2022-04-21 05:53:55
5,Torbay,47.6666,-52.7314,37.76,94,100,19.57,CA,2022-04-21 05:53:55
6,Tazovskiy,67.4667,78.7,14.36,87,100,14.18,RU,2022-04-21 05:53:56
7,Cape Town,-33.9258,18.4232,63.91,90,75,4.61,ZA,2022-04-21 05:53:56
8,Albany,42.6001,-73.9662,34.52,79,39,2.68,US,2022-04-21 05:53:57
9,Castro,-24.7911,-50.0119,52.54,94,2,3.4,BR,2022-04-21 05:53:57
10,Bluff,-46.6,168.3333,55.8,80,90,9.31,NZ,2022-04-21 05:53:57
11,Acapulco,16.8634,-99.8901,78.67,62,0,5.17,MX,2022-04-21 05:53:58
12,Chokurdakh,70.6333,147.9167,19.31,93,23,4.85,RU,2022-04-21 05:53:58
13,Ponta Do Sol,32.6667,-17.1,61.43,73,17,3.98,PT,2022-04-21 05:53:59
14,Arraial Do Cabo,-22.9661,-42.0278,72.3,80,3,11.5,BR,2022-04-21 05:53:59
15,Hobart,-42.8794,147.3294,58.01,48,40,14.97,AU,2022-04-21 05:54:00
16,Ribeira Grande,38.5167,-28.7,58.3,82,85,16.04,PT,2022-04-21 05:54:00
17,Soyo,-6.1349,12.3689,77.38,85,99,3.44,AO,2022-04-21 05:54:00
18,Jamestown,42.097,-79.2353,47.52,50,0,11.5,US,2022-04-21 05:54:01
19,Dawlatabad,36.4141,64.9053,74.64,37,29,5.06,AF,2022-04-21 05:54:01
20,Bath,51.3779,-2.3591,47.37,83,100,6.17,GB,2022-04-21 05:50:38
21,Dikson,73.5069,80.5464,6.84,92,100,16.04,RU,2022-04-21 05:54:02
22,Tuktoyaktuk,69.4541,-133.0374,-0.4,85,20,6.91,CA,2022-04-21 05:54:02
23,Puerto Ayora,-0.7393,-90.3518,72.91,95,63,5.1,EC,2022-04-21 05:54:03
24,Xinyu,27.8043,114.9334,80.74,48,44,8.39,CN,2022-04-21 05:54:03
25,Maltahohe,-24.8333,16.9833,59.34,49,36,6.08,NA,2022-04-21 05:54:03
26,Akureyri,65.6835,-18.0878,40.93,81,0,5.75,IS,2022-04-21 05:54:04
27,Hithadhoo,-0.6,73.0833,83.41,67,56,4.5,MV,2022-04-21 05:54:05
28,Pasni,25.2631,63.471,82.54,53,49,9.66,PK,2022-04-21 05:54:05
29,Yellowknife,62.456,-114.3525,19.92,58,0,5.75,CA,2022-04-21 05:54:06
30,College,64.8569,-147.8028,41.32,44,0,0.0,US,2022-04-21 05:54:06
31,Morant Bay,17.8815,-76.4093,78.42,84,13,10.13,JM,2022-04-21 05:54:07
32,Sao Joao Da Barra,-21.6403,-41.0511,68.23,91,0,6.35,BR,2022-04-21 05:54:07
